Inf,Name,UID,Best Pos,Best Role,Best Duty,Pros,Cons,Position,Club,On Loan From,Based,Asking Price,Salary,Expires,Nat,2nd Nat,Home Grown Status,Height,Weight,Preferred Foot,Age,Personality,Media Handling,Transfer Value,Apps,Starts,Mins,Mins/Gm,Av Rat,Yth Gls,Yth Apps,Gls,Gls/90,Shots,ShT,Shot %,Shot/90,ShT/90,Pens,Pens S,Pen/R,Off,xG,CCC,Ch C/90,Ast,Asts/90,K Pas,K Ps/90,Pas A,Ps A/90,Ps C,Ps C/90,Pas %,Cr A,Cr C,Cr C/A,Drb,Goals Outside Box,FK Shots,OP-Cr %,Tck A,Shots Outside Box/90,Shts Blckd/90,Shts Blckd,Pr passes/90,Pr Passes,Pres C/90,Pres C,Pres A/90,Pres A,Poss Won/90,Poss Lost/90,OP-KP/90,OP-KP,OP-Crs C/90,OP-Crs C,OP-Crs A/90,OP-Crs A,Gl Mst,Hdrs L/90,K Tck/90,K Hdrs/90,Sprints/90,xGP/90,Blk,xG/shot,xGP,Clr/90,Blk/90,Conv %,Crs A/90,Cr C/90,Dist/90,Drb/90,FA,Distance,Hdrs A,Aer A/90,Hdrs,Hdrs W/90,Hdr %,K Tck,Tck W,Tck/90,Tck R,Fls,Yel,Red,Itc,Int/90,Clear,Conc,All/90,Shutouts,xSv %,Svh,Svt,Svp,Sv %,Pens Faced,Pens Saved,Pens Saved Ratio,PoM,AT Apps,Saves/90,Tgls/90,Tcon/90,Tall,Tgls,Pts/Gm,NP-xG/90,NP-xG,Last Gl,Last C,Last 5 Games,Last 5 FT Games,Int Conc,Int Av Rat,Int Ast,Int Apps,Won,G. Mis,Lost,D,Gwin,xG/90,xG-OP,xA/90,xA,Cln/90,Mins/Gl,AT Lge Gls,AT Lge Apps,AT Gls,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Acc,decimal_height,decimal_weight
Wnt,Martial Tia,12095307,M (C),Central Midfielder,Attack,Speed,Marking,M/AM (C),AFE,,Mali (Ligue 1 Orange Mali),-,"$1,000 p/a",2026-07-31,MLI,CIV,-,"5'11""",154 lbs,Right,18.0,Balanced,Media-friendly,$16K - $150K,-,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,,,,,,,,,,,,,,6.5,0.0,2.0,,,,,,,,,,,,2.0,53.0,2.0,12.0,14.0,2.0,12.0,8.0,9.0,7.0,12.0,3.0,3.0,1.0,6.0,3.0,13.0,13.0,3.0,9.0,13,7.0,1.0,5.0,12.0,2.0,10.0,6.0,2.0,6.0,12.0,14.0,10.0,3.0,9.0,10.0,13.0,6.0,7.0,6.0,10.0,3.0,2.0,7.0,8.0,7.0,11.0,14.0,1.0,13.0,5.92,154
,Ibrahim Sulley,13193986,AM (C),Shadow Striker,Attack,Speed,Team Player,"AM (C), ST (C)",Great Olympics,,Ghana (Premier League),-,"$8,000 p/a",2027-07-31,GHA,,-,"5'7""",132 lbs,Right Only,24.0,Balanced,Media-friendly,$0 - $85K,4 (2),4.0,361.0,60.17,6.72,,,1.0,0.25,8.0,3.0,0.38,1.99,0.75,0.0,0.0,,0.0,0.81,0.0,,0.0,,2.0,0.5,140.0,34.9,123.0,30.66,0.88,13.0,0.0,,11.0,0.0,0.0,0.0,4.0,1.75,0.0,0.0,1.75,7.0,1.0,4.0,6.48,26.0,3.49,8.73,0.5,2.0,0.0,0.0,2.74,11.0,0.0,5.73,0.0,0.0,12.47,,1.0,0.1,,1.0,0.25,0.13,3.24,0.0,0.0,2.74,4.0,33.6,27.0,6.73,4.0,1.0,0.15,0.0,4.0,1.0,,2.0,1.0,0.0,5.0,1.25,4.0,,,,,,,,,,,,0.0,103.0,,1.99,1.75,,8.0,1.4,0.2,0.81,7.0,,,,,,,,2.0,,2.0,2.0,,0.2,0.19,0.04,0.15,,0.0,10.0,98.0,11.0,9.0,7.0,4.0,11.0,8.0,8.0,3.0,11.0,2.0,2.0,2.0,8.0,3.0,5.0,14.0,1.0,6.0,14,7.0,5.0,9.0,7.0,1.0,6.0,8.0,3.0,6.0,14.0,14.0,10.0,2.0,14.0,10.0,14.0,7.0,7.0,8.0,9.0,3.0,2.0,6.0,8.0,9.0,14.0,12.0,1.0,14.0,5.58,132
Loa,Mohamed Hamdy,2000071475,AM (C),Advanced Playmaker,Support,Intelligence,Athleticism,M/AM (C),Al-Ahly,,Egypt (Premier League),-,"$14,500 p/a",2026-07-31,EGY,,-,"5'6""",127 lbs,Right,22.0,Balanced,Media-friendly,$500 - $6K,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,9.0,10.0,3.0,14.0,12.0,8.0,3.0,5.0,2.0,2.0,1.0,9.0,8.0,9.0,9.0,2.0,11.0,9,5.0,1.0,7.0,4.0,3.0,3.0,5.0,4.0,6.0,13.0,12.0,9.0,1.0,9.0,10.0,14.0,3.0,5.0,5.0,11.0,1.0,2.0,8.0,9.0,11.0,13.0,8.0,4.0,10.0,5.5,127
,George Ayine,83258606,M (C),Ball Winning Midfielder,Defend,Speed,Unknown,M/AM (C),Fréjus-Saint-Raphaël,,France (National 2 Groupe A),-,"$58,000 p/a",2026-06-30,GHA,,-,"5'11""",167 lbs,Right,26.0,Balanced,Media-friendly,$24K - $230K,7,7.0,630.0,90.0,7.04,,,0.0,,7.0,2.0,0.29,1.0,0.29,0.0,0.0,,0.0,0.63,0.0,,0.0,,11.0,1.57,305.0,43.57,269.0,38.43,0.88,8.0,1.0,,5.0,1.0,0.0,0.13,25.0,0.43,0.0,0.0,5.14,36.0,3.71,26.0,11.0,77.0,14.0,16.57,1.57,11.0,0.14,1.0,1.14,8.0,0.0,2.0,0.14,0.57,8.71,,0.0,0.09,,1.0,,,1.14,0.14,0.0,0.71,7.0,53.4,31.0,4.43,17.0,2.43,0.55,1.0,18.0,2.57,,7.0,1.0,0.0,11.0,1.57,7.0,,,,,,,,,,,,0.0,150.0,,1.86,0.86,,13.0,1.75,0.09,0.63,,,,,,,,,4.0,,2.0,1.0,,0.09,-0.63,0.12,0.86,,,18.0,145.0,18.0,12.0,9.0,1.0,11.0,13.0,11.0,11.0,12.0,2.0,1.0,3.0,11.0,3.0,10.0,12.0,1.0,10.0,10,10.0,5.0,10.0,4.0,2.0,10.0,7.0,3.0,5.0,14.0,10.0,7.0,2.0,11.0,10.0,10.0,7.0,4.0,8.0,9.0,2.0,2.0,11.0,9.0,11.0,10.0,12.0,2.0,12.0,5.92,167
,Abdul Ibrahim,83252154,D (L),Wing-Back,Defend,Speed,Heading,D/WB (L),Salgueiros,,Portugal (Liga 3),-,"$88,500 p/a",2027-06-30,GHA,POR,-,"5'9""",154 lbs,Left Only,26.0,Balanced,Media-friendly,$22K,6,6.0,540.0,180.0,6.95,,,0.0,,1.0,0.0,0.0,0.17,0.0,0.0,0.0,,0.0,0.14,1.0,0.2,0.0,,2.0,0.33,282.0,47.0,234.0,39.0,0.83,15.0,1.0,,11.0,0.0,0.0,0.08,19.0,0.0,0.83,5.0,6.67,40.0,2.0,12.0,9.0,54.0,16.5,11.0,0.33,2.0,0.17,1.0,2.5,15.0,0.0,2.83,0.0,0.5,14.83,,6.0,0.14,,1.0,1.0,,2.5,0.17,0.0,1.83,7.0,47.8,40.0,6.67,23.0,3.83,0.58,0.0,17.0,2.83,,6.0,2.0,0.0,10.0,1.67,6.0,,,,,,,,,,,,0.0,117.0,,4.2,2.0,,9.0,3.3,0.02,0.14,,,,,,,,,4.0,,2.0,0.0,,0.02,-0.14,0.12,0.71,,,4.0,116.0,4.0,13.0,10.0,1.0,10.0,11.0,11.0,7.0,13.0,2.0,2.0,3.0,9.0,4.0,8.0,14.0,1.0,12.0,14,9.0,10.0,3.0,7.0,3.0,7.0,7.0,3.0,2.0,6.0,10.0,5.0,1.0,10.0,10.0,9.0,10.0,4.0,10.0,8.0,1.0,2.0,11.0,10.0,13.0,13.0,11.0,3.0,14.0,5.75,154
Inj,Nebo Kingsley,2000335584,WB (L),Wing-Back,Attack,Speed,Heading,WB (L),Enugu Rangers IFC,,Nigeria (NPFL),-,"$3,800 p/a",2026-07-31,NGA,,-,"5'4""",123 lbs,Left,22.0,Fairly Ambitious,Media-friendly,$0 - $55K,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,8.0,4.0,11.0,9.0,11.0,1.0,9.0,3.0,1.0,3.0,9.0,4.0,10.0,14.0,2.0,5.0,10,5.0,8.0,6.0,12.0,1.0,4.0,4.0,3.0,5.0,5.0,12.0,7.0,1.0,9.0,10.0,11.0,13.0,7.0,10.0,9.0,1.0,2.0,8.0,10.0,8.0,14.0,13.0,1.0,14.0,5.33,123
,Hassan Musa,2000098659,D (R),Full-Back,Defend,Speed,Heading,D (R),Wikki Tourist,,Nigeria (NPFL),-,"$17,000 p/a",2026-07-31,NGA,,-,"5'9""",145 lbs,Right,25.0,Balanced,Media-friendly,$6K - $60K,1 (1),1.0,177.0,88.5,6.65,,,0.0,,2.0,1.0,0.5,1.02,0.51,0.0,0.0,,0.0,0.13,0.0,,0.0,,1.0,0.51,86.0,43.73,69.0,35.08,0.8,8.0,3.0,,2.0,0.0,0.0,0.38,10.0,1.02,0.51,1.0,2.54,5.0,3.05,6.0,6.1,12.0,10.17,16.27,0.51,1.0,1.53,3.0,4.07,8.0,0.0,3.56,0.0,0.0,15.25,,0.0,0.07,,2.03,,,4.07,1.53,0.0,1.02,1.0,16.7,15.0,7.63,8.0,4.07,0.53,0.0,7.0,3.56,,4.0,0.0,0.0,0.0,,4.0,,,,,,,,,,,,0.0,97.0,,1.02,1.02,,2.0,1.5,0.07,0.13,,,,,,,,,1.0,,1.0,0.0,,0.07,-0.13,0.02,0.04,,,5.0,89.0,6.0,8.0,5.0,2.0,8.0,8.0,12.0,6.0,9.0,1.0,2.0,3.0,9.0,3.0,7.0,14.0,1.0,5.0,16,7.0,3.0,3.0,7.0,2.0,6.0,8.0,2.0,1.0,5.0,10.0,1.0,3.0,4.0,10.0,15.0,9.0,5.0,11.0,8.0,2.0,2.0,9.0,8.0,8.0,14.0,10.0,2.0,14.0,5.75,145
Wnt,Gabriel Bonnah,2000256198,AM (L),Winger,Attack,Speed,Team Player,AM (L),FC Samartex,,Ghana (Premier League),-,"$6,500 p/a",2026-07-31,GHA,,-,"6'1""",169 lbs,Left,24.0,Balanced,Media-friendly,$12K,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,30.0,2.0,6.0,8.0,2.0,11.0,8.0,6.0,4.0,10.0,2.0,3.0,2.0,7.0,1.0,12.0,12.0,3.0,7.0,6,6.0,4.0,8.0,3.0,2.0,13.0,5.0,1.0,6.0,10.0,13.0,11.0,3.0,14.0,10.0,10.0,12.0,8.0,3.0,5.0,4.0,1.0,5.0,8.0,11.0,9.0,6.0,1.0,12.0,6.08,169
FrA,Moses Adongo,2002081478,M (L),Defensive Winger,Support,Athleticism,Marking,"M (RL), AM (L)",,,Ghana,-,-,,GHA,,-,"5'8""",138 lbs,Right,17.0,Balanced,Media-friendly,$0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,3.0,1.0,12.0,3.0,4.0,4.0,10.0,2.0,1.0,3.0,3.0,2.0,5.0,7.0,3.0,5.0,12,1.0,2.0,5.0,1.0,3.0,7.0,3.0,2.0,4.0,6.0,6.0,1.0,1.0,4.0,10.0,4.0,6.0,2.0,2.0,6.0,1.0,2.0,5.0,5.0,5.0,9.0,8.0,2.0,10.0,5.67,138
FrA,Ollenu Ofoli,2002081482,AM (C),Attacking Midfielder,Support,Athleticism,Intelligence,AM (C),,,Ghana,-,-,,GHA,,-,"6'0""",156 lbs,Left,17.0,Fairly Professional,Media-friendly,$0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,3.0,2.0,12.0,6.0,6.0,4.0,4.0,2.0,1.0,2.0,3.0,2.0,9.0,8.0,1.0,5.0,12,1.0,1.0,7.0,1.0,3.0,10.0,3.0,1.0,3.0,12.0,7.0,4.0,3.0,3.0,10.0,5.0,3.0,3.0,2.0,4.0,4.0,2.0,4.0,8.0,5.0,8.0,8.0,2.0,6.0,6.0,156
