Name,CA,PA,PA Min,PA Max
Lamine Yamal Nasraoui Ebana,125,-10,170,200
Alejandro Balde Martínez,154,-95,160,190
Anssumane Fati Vieira,148,-95,160,190
Endrick Felipe Moreira de Sousa,114,-95,160,190
Estêvão Willian Almeida de Oliveira Gonçalves,75,-95,160,190
Evan Joe Ferguson,138,-95,160,190
Mikey Moore,91,-95,160,190
Pablo Martín Páez Gavira,154,-95,160,190
Vitor Hugo Roque Ferreira,132,-95,160,190
Warren Zaïre-Emery,136,-95,160,190
Youssoufa Moukoko,125,-95,160,190
Jude Victor William Bellingham,168,188,188,188
Bukayo Ayoyinka Saka,173,186,186,186
Jamal Musiala,157,185,185,185
Moisés Isaac Caicedo Corozo,156,185,185,185
William Saliba,164,182,182,182
Alejandro Garnacho Ferreyra,142,-9,150,180
Alex Jay Scott,132,-9,150,180
Ângelo Gabriel Borges Damaceno,123,-9,150,180
António João Pereira Albuquerque Tavares Silva,142,-9,150,180
Archie Gray,117,-9,150,180
Arda Güler,125,-9,150,180
Badredine Bouanani,115,-9,150,180
Ben Gannon Doak,115,-9,150,180
Benjamin Šeško,135,-9,150,180
Carlos Noom Quomah Baleba,130,-9,150,180
Cesare Casadei,123,-9,150,180
Claudio Jeremías Echeverri,107,-9,150,180
Désiré Doué,122,-9,150,180
Eduardo Celmi Camavinga,165,180,180,180
Eli Junior Eric Anat Kroupi,110,-9,150,180
Eliesse Ben Seghir,121,-9,150,180
Ethan Chidiebere Nwaneri,115,-9,150,180
Florian Richard Wirtz,148,-9,150,180
Forzan Assan Ouédraogo,103,-9,150,180
Gabriel Teodoro Martinelli Silva,160,180,180,180
Guillaume Restes,120,-9,150,180
Iván Fresneda Corraliza,132,-9,150,180
João Miguel Fins Veloso,102,-9,150,180
João Pedro Gonçalves Neves,139,-9,150,180
João Pedro Seno Luís Rêgo,100,-9,150,180
Jorrel Hato,123,-9,150,180
Julien Duranville,113,-9,150,180
Junior Castello Lukeba,138,-9,150,180
Karim Konaté,128,-9,150,180
Lorran Lucas Pereira de Sousa,105,-9,150,180
Luís Guilherme Lira dos Santos,108,-9,150,180
Marcos Leonardo Santos Almeira,130,-9,150,180
Mathys Tel,130,-9,150,180
Michael Olabode Kayode,125,-9,150,180
Mohamed-Ali Cho,120,-9,150,180
Noah Darvich,100,-9,150,180
Oscar Gloukh,124,-9,150,180
Ousmane Diomande,142,-9,150,180
Paul Wanner,106,-9,150,180
Rasmus Winther Højlund,142,-9,150,180
Ray Kendry Páez Andrade,110,-9,150,180
Rayan Mathis Cherki,128,-9,150,180
Rodrigo Duarte Ribeiro,96,-9,150,180
Rodrigo Mora Carvalho,85,-9,150,180
Roméo Lavia,134,-9,150,180
Samuel Iling-Junior,133,-9,150,180
Shaqueel van Persie,100,-9,150,180
Shea Lacey,80,-9,150,180
Simone Pafundi,111,-9,150,180
Stefan Bajčetić Maquieira,120,-9,150,180
Sverre Halseth Nypan,115,-9,150,180
Tommaso Baldanzi,129,-9,150,180
Valentín Barco,130,-9,150,180
Valentino Francisco Livramento,134,-9,150,180
Wesley Fofana,151,180,180,180
Xavi Quentin Shay Simons,148,-9,150,180
Yaser Esneider Asprilla Martínez,125,-9,150,180
Joško Gvardiol,148,178,178,178
Rodrygo Silva de Goes,164,178,178,178
Khvicha Kvaratskhelia,164,177,177,177
Nuno Alexandre Tavares Mendes,152,177,177,177
Pedro González López,162,176,176,176
Manuel Ugarte Ribeiro,152,175,175,175
Yeremy Jesús Pino Santos,142,175,175,175
Enzo Jeremías Fernández,158,174,174,174
Jurriën David Norman Timber,148,173,173,173
Alphonso Boyle Davies,156,172,172,172
Nicholas Williams Arthuer,148,171,171,171
Adam James Wharton,117,-85,140,170
Afonso Bastardo Moreira,106,-85,140,170
Alan Agustín Velasco,127,-85,140,170
Alberto Moleiro González,128,-85,140,170
Alejandro Iturbe Encabo,105,-85,140,170
Alejandro Monserrate Pueyo,83,-85,140,170
Alfie Dorrington,100,-85,140,170
Alfie Sean Devine,106,-85,140,170
Álvaro Daniel Rodríguez Muñoz,119,-85,140,170
Amidou Doumbouya,75,-85,140,170
Andrey Nascimento dos Santos,124,-85,140,170
Antoine Mendy,98,-85,140,170
Antoni-Djibu Milambo,110,-85,140,170
Antonio Eromonsele Nordby Nusa,113,-85,140,170
Armel Bella-Kotchap,134,-85,140,170
Arsen Zakharyan,126,-85,140,170
Arthur Vermeeren,110,-85,140,170
Ashley Phillips,112,-85,140,170
Ayanda Sishuba,100,-85,140,170
Ayman Kari,110,-85,140,170
Bastien Meupiyou Menadjou,104,-85,140,170
Bilal El Khannouss,120,-85,140,170
Callum Craig Doyle,130,-85,140,170
Carlos Roberto Forbs Borges,125,-85,140,170
Carlos Thomás Gómez Montefiori,82,-85,140,170
Carney Chukwuemeka,125,-85,140,170
Chadi Riad Dnanou,125,-85,140,170
Charlie Michael Patino,114,-85,140,170
Chris Rigg,93,-85,140,170
David Datro Fofana,128,-85,140,170
David Enmanuel Martínez Morales,104,-85,140,170
Dean Donny Huijsen,92,-85,140,170
Deivid Washington de Souza Eugenio,118,-85,140,170
Dennis Seimen,103,-85,140,170
Diego Callai Silva,103,-85,140,170
Dijon Kameri,121,-85,140,170
Dominik Szoboszlai,154,170,170,170
El Chadaille Bitshiabu,116,-85,140,170
Elliot Anderson,127,-85,140,170
Emanuel Esseh Emegha,129,-85,140,170
Enzo Molebe,80,-85,140,170
Enzo Sternal,80,-85,140,170
Ernest Appiah Nuamah,134,-85,140,170
Ernest Poku,109,-85,140,170
Estanislau Pedrola Fortuny,126,-85,140,170
Ethan Butera,99,-85,140,170
Fábio Leandro Freitas Gouveia De Carvalho,132,-85,140,170
Facundo Valentín Buonanotte,131,-85,140,170
Farès Chaïbi,127,-85,140,170
Faustino Adebola Rasheed Anjorin,117,-85,140,170
Francesco Pio Esposito,111,-85,140,170
Gabriël Osei Misehouy,108,-85,140,170
Gabriel Serôdio Silva,75,-85,140,170
Gabriel Silva Moscardo de Salles,118,-85,140,170
Gaël Lafont,81,-85,140,170
Giacomo Faticanti,100,-85,140,170
Gianluca Prestianni Gross,114,-85,140,170
Giorgio Scalvini,145,170,170,170
Giovani Henrique Amorim da Silva,107,-85,140,170
Gonçalo Carvalho Moreira,89,-85,140,170
Guilherme Mascarenhas Sousa Santos,85,-85,140,170
Héctor Fort García,100,-85,140,170
Heriberto De Jesus Jurado Flores,92,-85,140,170
Hugo Emanuel Larsson,123,-85,140,170
Hugo Félix Sequeira,103,-85,140,170
Iker Villar Mendoza,80,-85,140,170
Ilias Akhomach Chakkour,125,-85,140,170
Isaac Achmed Koroma Junior Babadi,120,-85,140,170
Iyenoma Destiny Udogie,138,-85,140,170
Jacob Ramsey,141,170,170,170
